WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - No Buttons Held
3200
xCount,yCount,Time (ms),buttonflags
5,4,0,0
3,2,0.0542,0
4,3,0.0596,0
3,3,0.0632,0
3,2,0.0666,0
4,4,0.0805,0
3,2,0.0924,0
5,3,0.1163,0
2,3,0.1492,0
5,3,0.1843,0
3,3,0.2004,0
4,3,0.2112,0
2,2,0.2312,0
5,4,0.2549,0
3,3,0.2846,0
4,3,0.2976,0
3,4,0.3079,0
3,2,0.3256,0
4,4,0.409,0
3,2,0.4384,0
4,4,0.4662,0
2,2,0.4951,0
4,4,0.9454,0
3,2,0.9519,0
3,4,0.9581,0
3,2,0.9703,0
3,4,1.1115,0
3,2,1.9233,0
4,4,1.9469,0
2,3,1.9665,0
4,3,1.9894,0
2,3,2.0122,0
4,3,2.0346,0
2,3,2.0442,0
3,3,2.0958,0
3,3,2.2242,0
4,4,2.3444,0
2,2,2.5193,0
3,3,2.6038,0
2,3,2.7236,0
4,4,2.8388,0
3,3,2.9626,0
2,3,3.0865,0
2,2,3.2113,0
4,4,3.3364,0
1,2,3.4613,0
4,4,3.5863,0
2,2,3.7113,0
3,5,3.8363,0
2,2,3.9615,0
3,4,4.0903,0
2,2,4.2113,0
3,4,4.3363,0
2,2,4.4613,0
3,4,4.5871,0
2,3,4.7114,0
2,3,4.8362,0
2,2,4.9613,0
3,4,5.0866,0
2,3,5.2117,0
3,4,5.3364,0
1,2,5.4621,0
3,4,5.5866,0
2,2,5.7116,0
3,4,5.8364,0
1,3,5.9613,0
3,3,6.0863,0
2,3,6.2113,0
2,4,6.3364,0
1,2,6.4612,0
3,4,6.5865,0
2,2,6.7114,0
2,4,6.8439,0
1,2,6.9623,0
3,4,7.0867,0
1,3,7.2112,0
3,4,7.3363,0
1,2,7.4613,0
2,4,7.5864,0
2,3,7.7113,0
2,3,7.8363,0
1,3,7.9615,0
2,4,8.0867,0
2,2,8.2114,0
2,4,8.3363,0
1,3,8.4613,0
3,3,8.5878,0
1,3,8.7114,0
1,4,8.8363,0
1,3,8.9613,0
2,4,9.0864,0
1,2,9.2115,0
2,4,9.3365,0
1,2,9.4614,0
2,5,9.5865,0
1,2,9.7114,0
1,4,9.8364,0
2,3,9.9612,0
2,3,10.0863,0
0,3,10.2113,0
2,4,10.3363,0
1,3,10.4615,0
1,4,10.5865,0
1,2,10.7113,0
1,4,10.8364,0
1,2,10.9612,0
1,5,11.0863,0
1,2,11.2113,0
1,4,11.3363,0
1,2,11.4613,0
1,5,11.5864,0
1,2,11.7122,0
1,4,11.8368,0
1,4,11.9614,0
1,3,12.0866,0
1,4,12.2112,0
0,2,12.3364,0
1,4,12.4613,0
1,3,12.5872,0
1,4,12.7113,0
0,3,12.8365,0
1,4,12.9614,0
1,2,13.0863,0
1,4,13.2113,0
0,3,13.3364,0
1,4,13.4615,0
0,3,13.5865,0
1,4,13.7113,0
0,3,13.8363,0
0,3,13.9613,0
1,3,14.0864,0
0,4,14.2113,0
1,3,14.3366,0
0,4,14.4614,0
0,3,14.5863,0
1,4,14.7114,0
0,3,14.8363,0
0,3,14.9612,0
1,3,15.0863,0
0,4,15.2114,0
0,3,15.3363,0
1,4,15.4612,0
0,2,15.5869,0
0,5,15.7173,0
0,2,15.8444,0
0,4,15.9627,0
0,3,16.0868,0
0,4,16.2114,0
0,3,16.3364,0
0,4,16.4613,0
0,3,16.5871,0
0,4,16.7113,0
0,2,16.8364,0
0,4,16.9613,0
0,3,17.0864,0
0,4,17.2113,0
0,4,17.3365,0
0,3,17.4614,0
0,4,17.5863,0
-1,3,17.7113,0
0,3,17.8363,0
0,4,17.9612,0
0,3,18.0863,0
-1,4,18.2115,0
0,3,18.3364,0
-1,4,18.4613,0
0,2,18.5863,0
-1,4,18.7119,0
0,3,18.8363,0
-1,4,18.9615,0
0,3,19.0863,0
-1,5,19.2114,0
0,2,19.3363,0
-1,4,19.4613,0
-1,3,19.5863,0
0,4,19.7114,0
-1,3,19.8366,0
-1,4,19.9615,0
0,3,20.0863,0
-1,4,20.2112,0
-1,3,20.3362,0
-1,4,20.4614,0
-1,3,20.5872,0
-1,4,20.7113,0
0,2,20.8371,0
-2,5,20.9615,0
0,2,21.0863,0
-2,5,21.2115,0
0,3,21.3365,0
-2,4,21.4613,0
-1,3,21.5864,0
-1,4,21.7113,0
-1,2,21.8363,0
-1,5,21.9613,0
-1,3,22.0866,0
-2,3,22.2114,0
-1,3,22.3363,0
-1,5,22.4612,0
-1,3,22.5863,0
-2,4,22.7113,0
0,2,22.837,0
-2,4,22.9614,0
-1,3,23.0863,0
-3,4,23.2113,0
-1,3,23.3363,0
-1,4,23.4615,0
-1,3,23.5862,0
-2,4,23.7115,0
-1,3,23.8363,0
-2,4,23.9614,0
-1,3,24.0862,0
-2,2,24.2113,0
-2,5,24.3362,0
-1,4,24.4613,0
-2,2,24.5871,0
-2,5,24.7112,0
-1,2,24.8363,0
-2,4,24.9612,0
-1,3,25.0865,0
-3,4,25.2114,0
-1,3,25.3364,0
-1,2,25.4613,0
-3,5,25.5863,0
-1,3,25.7113,0
-2,4,25.8363,0
-2,2,25.9615,0
-2,4,26.0864,0
-1,3,26.2113,0
-3,4,26.3364,0
-1,3,26.4612,0
-3,4,26.5863,0
-1,3,26.7113,0
-3,4,26.8364,0
-1,3,26.9613,0
-3,4,27.0863,0
-2,3,27.2113,0
-2,4,27.3363,0
-2,2,27.4613,0
-2,4,27.5863,0
-2,3,27.7115,0
-3,4,27.8364,0
-2,3,27.9614,0
-3,4,28.0863,0
-1,3,28.2113,0
-3,4,28.3365,0
-2,2,28.4613,0
-3,4,28.5873,0
-2,3,28.7117,0
-2,4,28.8363,0
-3,2,28.9615,0
-2,5,29.0864,0
-2,3,29.2115,0
-3,3,29.3363,0
-2,3,29.4613,0
-3,4,29.5863,0
-3,3,29.7114,0
-2,4,29.8367,0
-3,3,29.9615,0
-3,4,30.0864,0
-2,3,30.2221,0
-2,3,30.338,0
-3,3,30.4615,0
-2,3,30.5864,0
-4,4,30.7113,0
-2,3,30.8362,0
-3,4,31.0319,0
-2,2,31.1456,0
-4,4,31.2405,0
-2,3,31.3494,0
-3,4,31.4682,0
-3,3,31.5942,0
-3,4,31.7188,0
-2,3,31.8922,0
-4,4,31.9687,0
-2,2,32.0908,0
-4,4,32.2121,0
-2,3,32.3368,0
-4,4,32.4615,0
-3,4,32.5872,0
-3,3,32.7113,0
-3,2,32.8366,0
-3,4,32.9614,0
-2,3,33.0888,0
-4,4,33.2114,0
-3,3,33.3364,0
-4,4,33.4612,0
-2,2,33.5863,0
-3,3,33.7115,0
-4,4,33.858,0
-3,3,34.0011,0
-4,4,34.0924,0
-2,2,34.2143,0
-4,4,34.3373,0
-3,2,34.4614,0
-4,4,34.5864,0
-3,3,34.7143,0
-4,4,34.8374,0
-3,3,34.9616,0
-4,3,35.0864,0
-3,3,35.2116,0
-4,4,35.3365,0
-3,3,35.4614,0
-4,4,35.5865,0
-3,2,35.7114,0
-4,4,35.8365,0
-3,3,35.9614,0
-3,2,36.0867,0
-5,4,36.2113,0
-3,3,36.3366,0
-4,3,36.4615,0
-3,3,36.5876,0
-4,4,36.712,0
-4,3,36.8366,0
-4,4,36.9615,0
-3,2,37.0864,0
-5,4,37.2114,0
-3,3,37.3364,0
-4,4,37.4614,0
-4,2,37.5867,0
-4,4,37.7115,0
-4,2,37.8364,0
-4,5,37.9613,0
-3,1,38.0865,0
-5,5,38.2115,0
-4,2,38.3365,0
-4,4,38.4614,0
-4,2,38.5865,0
-5,4,38.7122,0
-3,3,38.8365,0
-3,2,38.9617,0
-5,4,39.0865,0
-3,2,39.2114,0
-5,4,39.3364,0
-4,3,39.4615,0
-5,3,39.5865,0
-3,3,39.7114,0
-5,3,39.8365,0
-4,3,39.9616,0
-5,3,40.0865,0
-3,3,40.2116,0
-5,3,40.3365,0
-4,3,40.4614,0
-5,4,40.5873,0
-3,2,40.7118,0
-5,4,40.8366,0
-4,2,40.9615,0
-5,4,41.0865,0
-4,3,41.2115,0
-5,3,41.3365,0
-4,3,41.4614,0
-5,3,41.5864,0
-4,3,41.7114,0
-3,2,41.8529,0
-6,4,41.9705,0
-4,2,42.0879,0
-5,4,42.2175,0
-4,2,42.3441,0
-5,4,42.4691,0
-4,2,42.5941,0
-6,4,42.7174,0
-3,2,42.844,0
-6,4,42.969,0
-4,2,43.0944,0
-6,4,43.219,0
-3,2,43.3442,0
-6,4,43.4691,0
-4,2,43.594,0
-4,2,43.7194,0
-6,4,43.8441,0
-4,2,43.9675,0
-6,3,44.093,0
-4,2,44.2196,0
-5,4,44.344,0
-5,3,44.4689,0
-6,3,44.5955,0
-3,2,44.7191,0
-6,4,44.8444,0
-5,2,44.9689,0
-5,4,45.0945,0
-4,2,45.2189,0
-5,2,45.3439,0
-6,4,45.469,0
-4,2,45.5939,0
-6,4,45.7174,0
-4,2,45.8439,0
-7,3,45.9698,0
-4,3,46.094,0
-6,3,46.2189,0
-4,2,46.3438,0
-6,4,46.4691,0
-5,2,46.594,0
-4,2,46.7194,0
-6,4,46.8894,0
-4,2,46.9716,0
-7,3,47.0894,0
-4,3,47.2125,0
-7,3,47.3371,0
-4,2,47.4639,0
-6,4,47.5872,0
-4,2,47.777,0
-7,3,47.865,0
-4,2,47.9918,0
-7,3,48.0936,0
-4,3,48.2123,0
-5,2,48.3441,0
-7,3,48.4627,0
-4,2,48.5875,0
-7,3,48.7114,0
-4,3,48.837,0
-7,3,48.9614,0
-4,2,49.0864,0
-7,3,49.2113,0
-4,2,49.3363,0
-7,3,49.4613,0
-5,2,49.5863,0
-7,3,49.7113,0
-4,3,49.8363,0
-7,3,49.9613,0
-5,2,50.0865,0
-7,3,50.2113,0
-4,2,50.3364,0
-5,2,50.4613,0
-7,3,50.5863,0
-5,3,50.7114,0
-7,2,50.8366,0
-5,3,50.9612,0
-7,3,51.0864,0
