WLMouse Beast X Mini Omron Optical (unit 2) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - No Buttons Held
3200
xCount,yCount,Time (ms),buttonflags
-4,2,0,0
-5,2,0.149,0
-3,2,0.1556,0
-5,2,0.1724,0
-3,1,0.1835,0
-5,3,0.2002,0
-4,1,0.2194,0
-4,3,0.243,0
-4,1,0.2573,0
-5,2,0.2704,0
-3,2,0.2842,0
-4,1,0.2972,0
-5,2,0.3371,0
-3,2,0.3482,0
-5,2,0.774,0
-4,2,0.7863,0
-4,2,0.7909,0
-4,1,0.9317,0
-5,2,0.942,0
-3,2,1.5337,0
-6,2,1.5391,0
-3,1,1.5426,0
-5,2,1.5461,0
-4,2,1.5592,0
-3,1,1.6806,0
-5,2,1.8112,0
-3,2,1.9316,0
-6,2,2.0561,0
-4,1,2.1861,0
-5,2,2.3151,0
-3,1,2.4323,0
-5,2,2.562,0
-4,2,2.6822,0
-5,2,2.8064,0
-4,1,2.9368,0
-3,2,3.0569,0
-6,1,3.1813,0
-5,3,3.3135,0
-4,0,3.4315,0
-5,2,3.5552,0
-3,2,3.6801,0
-4,1,3.8051,0
-5,2,3.9302,0
-4,1,4.055,0
-6,2,4.18,0
-3,1,4.3062,0
-4,1,4.431,0
-5,2,4.5565,0
-4,2,4.6813,0
-5,1,4.8062,0
-4,1,4.94,0
-6,2,5.0572,0
-3,1,5.1813,0
-6,2,5.3062,0
-3,1,5.4311,0
-6,2,5.5561,0
-3,1,5.6812,0
-4,1,5.8064,0
-6,2,5.9313,0
-3,1,6.0561,0
-6,2,6.1811,0
-4,1,6.3061,0
-5,2,6.4314,0
-4,1,6.5562,0
-5,1,6.684,0
-4,1,6.8061,0
-6,2,6.9312,0
-4,1,7.0561,0
-5,1,7.181,0
-4,2,7.3045,0
-4,1,7.4293,0
-6,1,7.5543,0
-4,2,7.6793,0
-5,1,7.8042,0
-4,1,7.9292,0
-6,1,8.0542,0
-4,1,8.1792,0
-6,1,8.3092,0
-3,2,8.431,0
-4,1,8.5563,0
-6,1,8.6812,0
-4,1,8.8061,0
-5,2,8.9312,0
-4,1,9.0561,0
-6,0,9.1812,0
-3,1,9.3042,0
-6,2,9.4292,0
-4,1,9.5542,0
-6,1,9.6792,0
-4,1,9.8041,0
-6,2,9.9293,0
-4,0,10.0542,0
-4,1,10.1792,0
-5,1,10.3044,0
-4,1,10.4292,0
-6,1,10.5542,0
-4,1,10.6791,0
-6,1,10.8043,0
-4,1,10.9292,0
-6,1,11.0541,0
-3,1,11.1794,0
-6,1,11.3042,0
-4,0,11.4292,0
-4,1,11.5542,0
-6,1,11.6792,0
-4,1,11.8042,0
-6,1,11.9291,0
-4,1,12.0541,0
-6,1,12.1798,0
-4,1,12.3042,0
-6,1,12.4292,0
-4,1,12.5544,0
-6,1,12.6792,0
-4,0,12.8043,0
-4,1,12.9292,0
-6,1,13.0542,0
-4,1,13.1792,0
-6,1,13.3041,0
-4,0,13.4291,0
-6,1,13.5542,0
-4,1,13.6796,0
-6,1,13.8043,0
-4,0,13.9294,0
-6,1,14.0542,0
-4,0,14.1794,0
-6,1,14.3043,0
-4,1,14.4292,0
-4,0,14.5542,0
-7,1,14.6791,0
-4,1,14.8042,0
-6,1,14.9292,0
-4,0,15.0544,0
-6,1,15.1792,0
-4,0,15.3042,0
-6,1,15.4292,0
-6,1,15.5542,0
-4,1,15.6792,0
-4,0,15.8042,0
-4,1,15.9292,0
-6,0,16.0542,0
-4,1,16.1792,0
-6,0,16.3042,0
-4,1,16.4293,0
-7,0,16.5542,0
-4,1,16.6792,0
-5,0,16.8041,0
-4,1,16.9293,0
-6,0,17.0542,0
-4,1,17.1793,0
-4,0,17.3042,0
-7,1,17.4292,0
-4,0,17.5545,0
-6,0,17.6794,0
-4,1,17.8041,0
-6,1,17.9292,0
-4,0,18.0544,0
-6,0,18.1793,0
-4,1,18.3041,0
-6,0,18.4292,0
-4,0,18.5543,0
-4,0,18.6792,0
-7,1,18.8042,0
-4,0,18.9295,0
-6,0,19.0542,0
-4,0,19.1791,0
-6,1,19.3047,0
-4,0,19.4292,0
-6,0,19.571,0
-5,1,19.6798,0
-6,0,19.8232,0
-4,0,19.9295,0
-4,0,20.0542,0
-6,1,20.1792,0
-4,0,20.3044,0
-6,0,20.4368,0
-5,0,20.5553,0
-6,0,20.6793,0
-4,0,20.8043,0
-6,0,20.9292,0
-4,1,21.0541,0
-6,0,21.1791,0
-4,0,21.3041,0
-5,0,21.4291,0
-6,0,21.5549,0
