WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1+2 Held
3200
xCount,yCount,Time (ms),buttonflags
-8,3,0,0
-5,1,0.0102,0
-8,3,0.0256,0
-4,1,0.0308,0
-8,3,0.0344,0
-5,1,0.0378,0
-5,2,0.0473,0
-9,2,0.0677,0
-5,2,0.3564,0
-8,2,0.3619,0
-5,1,0.4769,0
-8,3,0.927,0
-8,2,0.9335,0
-5,1,0.9435,0
-7,3,0.9599,0
-6,1,1.0631,0
-5,1,1.187,0
-7,2,1.3234,0
-6,2,1.438,0
-7,2,1.5671,0
-6,1,1.6875,0
-7,2,1.8136,0
-6,2,1.9368,0
-8,2,2.0621,0
-4,1,2.1869,0
-8,2,2.3118,0
-5,2,2.4368,0
-8,2,2.5618,0
-6,1,2.6869,0
-8,2,2.8118,0
-4,1,2.9371,0
-9,2,3.0617,0
-5,1,3.1868,0
-5,2,3.3119,0
-8,2,3.4369,0
-5,1,3.5609,0
-8,2,3.686,0
-6,1,3.8109,0
-7,2,3.9359,0
-5,1,4.0609,0
-8,2,4.186,0
-6,1,4.3111,0
-8,2,4.4361,0
-4,2,4.5612,0
-9,1,4.686,0
-5,1,4.8152,0
-8,2,4.9361,0
-5,1,5.0611,0
-8,2,5.1859,0
-6,1,5.3109,0
-7,1,5.4359,0
-6,2,5.5609,0
-8,1,5.6861,0
-5,1,5.811,0
-8,2,5.9361,0
-5,1,6.061,0
-8,1,6.186,0
-5,1,6.311,0
-8,2,6.436,0
-8,2,6.5609,0
-5,1,6.6879,0
-8,1,6.8109,0
-6,1,6.9359,0
-8,2,7.0612,0
-5,0,7.1858,0
-5,1,7.311,0
-8,2,7.4359,0
-5,1,7.5609,0
-8,1,7.6859,0
-5,2,7.811,0
-8,1,7.936,0
-6,1,8.0609,0
-8,1,8.1862,0
-5,1,8.311,0
-7,1,8.4364,0
-6,1,8.561,0
-8,2,8.6858,0
-5,1,8.8112,0
-8,1,8.936,0
-5,1,9.0608,0
-8,1,9.1859,0
-6,1,9.3109,0
-7,1,9.436,0
-5,1,9.5609,0
-8,1,9.6863,0
-6,1,9.8114,0
-8,1,9.9359,0
-5,1,10.061,0
-8,1,10.1859,0
-5,1,10.3109,0
-9,1,10.4359,0
-5,1,10.5609,0
-8,0,10.6859,0
-6,1,10.8109,0
-8,1,10.9359,0
-5,1,11.0611,0
