WLMouse Beast X Mini Omron Optical (unit 1) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1 Held
3200
xCount,yCount,Time (ms),buttonflags
6,2,0,0
4,1,0.0049,0
6,2,0.0132,0
4,1,0.0254,0
6,1,0.0425,0
4,2,0.0485,0
6,1,0.0522,0
3,1,0.3622,0
7,2,0.3674,0
5,2,0.3709,0
4,1,0.4804,0
6,1,0.9379,0
4,1,0.943,0
6,2,0.9464,0
4,1,0.9651,0
6,2,1.0707,0
5,2,1.1948,0
4,1,1.3249,0
7,2,1.4453,0
4,1,1.5698,0
5,2,1.6995,0
4,1,1.8201,0
6,2,1.9536,0
4,1,2.076,0
6,1,2.1954,0
5,3,2.3196,0
5,1,2.4495,0
6,1,2.569,0
5,3,2.6939,0
4,1,2.8185,0
6,1,2.9439,0
4,2,3.0687,0
6,2,3.1936,0
4,1,3.3185,0
5,2,3.4436,0
4,1,3.5686,0
6,2,3.6935,0
4,1,3.8187,0
5,2,3.9435,0
6,2,4.0686,0
4,1,4.1935,0
5,2,4.3188,0
4,1,4.4436,0
6,2,4.5689,0
4,1,4.6935,0
5,2,4.8185,0
4,2,4.9435,0
6,2,5.0685,0
5,2,5.1938,0
4,1,5.3187,0
6,2,5.4435,0
3,1,5.5685,0
6,2,5.6936,0
4,2,5.8185,0
5,2,5.9435,0
6,2,6.0685,0
4,1,6.1936,0
5,2,6.3186,0
4,1,6.4436,0
5,2,6.5686,0
4,2,6.6937,0
6,2,6.8187,0
5,2,6.9435,0
4,1,7.0686,0
5,2,7.1935,0
4,1,7.3186,0
5,2,7.4435,0
4,2,7.5687,0
5,2,7.6936,0
4,1,7.8185,0
5,2,7.9436,0
6,3,8.0684,0
3,1,8.1939,0
6,2,8.3187,0
3,2,8.4436,0
5,2,8.5685,0
6,2,8.6935,0
3,1,8.8185,0
5,2,8.9436,0
4,2,9.0688,0
5,2,9.1937,0
4,2,9.3185,0
5,2,9.4436,0
3,1,9.5686,0
5,3,9.6936,0
6,1,9.8186,0
3,2,9.9442,0
5,2,10.0686,0
4,2,10.1935,0
5,2,10.3186,0
3,1,10.4438,0
6,3,10.5685,0
3,1,10.6938,0
5,2,10.8187,0
5,3,10.9435,0
3,1,11.0685,0
6,2,11.1935,0
3,1,11.3186,0
5,3,11.4435,0
3,1,11.5686,0
5,3,11.6935,0
5,2,11.8185,0
4,2,11.9435,0
4,2,12.0688,0
4,1,12.1937,0
5,3,12.3185,0
3,2,12.4435,0
5,2,12.5685,0
5,2,12.6936,0
3,1,12.8185,0
6,3,12.9438,0
3,1,13.0686,0
5,2,13.1936,0
3,2,13.3186,0
5,3,13.4435,0
3,1,13.5685,0
5,3,13.6936,0
4,2,13.8185,0
4,2,13.9435,0
4,2,14.0685,0
4,2,14.1935,0
4,2,14.3185,0
4,2,14.4437,0
4,2,14.5685,0
5,3,14.6936,0
3,1,14.8184,0
5,3,14.9436,0
3,1,15.0685,0
5,3,15.1935,0
3,1,15.3188,0
5,3,15.4435,0
4,2,15.5688,0
3,2,15.6935,0
5,2,15.8185,0
3,2,15.9438,0
4,2,16.0687,0
3,2,16.1935,0
5,3,16.3185,0
3,1,16.4435,0
4,3,16.5684,0
4,3,16.6936,0
4,1,16.8188,0
4,3,16.9436,0
3,2,17.0686,0
4,2,17.1935,0
3,2,17.3186,0
4,2,17.4435,0
5,3,17.5685,0
3,1,17.6935,0
4,3,17.8185,0
3,2,17.9434,0
5,2,18.0685,0
4,3,18.1937,0
3,1,18.3184,0
4,3,18.4434,0
3,2,18.5685,0
4,3,18.6935,0
3,1,18.8185,0
4,3,18.9435,0
3,1,19.0686,0
4,3,19.1935,0
3,2,19.3186,0
4,2,19.4437,0
5,3,19.5687,0
2,2,19.6935,0
5,3,19.8187,0
2,2,19.944,0
4,2,20.0685,0
3,2,20.1935,0
4,3,20.3185,0
4,2,20.4434,0
3,2,20.5685,0
4,3,20.6939,0
2,2,20.8186,0
4,2,20.9436,0
3,2,21.0685,0
4,3,21.1935,0
2,2,21.3185,0
4,2,21.4435,0
4,3,21.5684,0
3,2,21.6935,0
3,3,21.8184,0
3,2,21.9435,0
4,3,22.0685,0
3,1,22.1936,0
3,3,22.3185,0
4,3,22.4435,0
3,2,22.5685,0
3,2,22.6934,0
3,2,22.8184,0
3,3,22.9434,0
3,2,23.0687,0
4,3,23.1935,0
3,2,23.3189,0
3,2,23.4436,0
3,3,23.5685,0
3,2,23.6935,0
3,3,23.8186,0
3,1,23.9438,0
3,3,24.0685,0
3,2,24.1935,0
3,3,24.3185,0
4,3,24.4435,0
3,2,24.5803,0
3,3,24.6958,0
2,1,24.819,0
4,3,24.944,0
3,3,25.0688,0
2,2,25.1955,0
4,3,25.32,0
2,2,25.4437,0
4,3,25.5686,0
2,2,25.6936,0
3,3,25.8186,0
3,2,25.9438,0
3,2,26.0687,0
3,4,26.194,0
2,1,26.3188,0
3,4,26.4435,0
2,1,26.5686,0
4,3,26.6936,0
2,3,26.8186,0
3,2,26.9436,0
2,2,27.0687,0
3,3,27.1937,0
3,3,27.3186,0
3,3,27.4436,0
3,2,27.5689,0
1,2,27.6938,0
3,3,27.8186,0
3,2,27.9436,0
3,3,28.0688,0
3,3,28.1936,0
1,2,28.3187,0
4,3,28.4439,0
1,2,28.5689,0
3,3,28.6937,0
2,2,28.8186,0
3,3,28.9437,0
3,3,29.0687,0
2,3,29.1936,0
3,2,29.3187,0
2,2,29.4437,0
3,3,29.5687,0
2,2,29.6935,0
2,4,29.8186,0
2,2,29.9444,0
3,3,30.0687,0
2,3,30.1937,0
2,2,30.3186,0
3,3,30.4438,0
2,2,30.5686,0
2,3,30.6936,0
3,3,30.8188,0
1,2,30.9436,0
3,3,31.0688,0
2,2,31.1936,0
2,4,31.3187,0
2,2,31.4439,0
2,3,31.5689,0
2,2,31.6936,0
2,3,31.8187,0
2,2,31.9435,0
3,3,32.0685,0
2,4,32.1937,0
2,2,32.319,0
2,3,32.4438,0
2,2,32.5686,0
2,3,32.6937,0
2,2,32.8187,0
2,3,32.9436,0
2,3,33.0687,0
2,3,33.1936,0
2,3,33.3186,0
1,2,33.4435,0
3,3,33.5687,0
1,2,33.6938,0
2,4,33.8186,0
2,2,33.9437,0
2,3,34.0686,0
2,3,34.1936,0
1,3,34.3187,0
3,3,34.4437,0
1,2,34.5695,0
2,3,34.6942,0
1,2,34.8188,0
2,4,34.9439,0
2,3,35.0687,0
2,2,35.1936,0
1,3,35.3189,0
2,3,35.4439,0
2,3,35.5687,0
1,2,35.6938,0
2,4,35.8187,0
2,3,35.9437,0
1,2,36.0687,0
2,3,36.1935,0
2,4,36.3185,0
1,2,36.4439,0
2,4,36.5688,0
1,2,36.6937,0
2,3,36.8187,0
1,2,36.9437,0
2,4,37.0687,0
1,2,37.1937,0
2,3,37.3185,0
1,3,37.4436,0
1,3,37.5687,0
1,2,37.6937,0
2,4,37.8186,0
2,3,37.9438,0
1,3,38.0686,0
1,3,38.1936,0
1,2,38.3186,0
2,3,38.4436,0
1,3,38.5686,0
1,3,38.6938,0
2,2,38.8188,0
1,4,38.9436,0
1,3,39.0689,0
1,2,39.1936,0
2,4,39.3187,0
0,2,39.4447,0
2,3,39.5693,0
1,3,39.6937,0
1,3,39.8187,0
1,4,39.9438,0
1,2,40.0692,0
1,4,40.1936,0
1,2,40.3188,0
1,3,40.4436,0
1,2,40.5698,0
1,4,40.6937,0
2,3,40.8188,0
0,3,40.9438,0
1,3,41.0687,0
1,2,41.1936,0
1,4,41.3187,0
1,2,41.4436,0
1,3,41.5686,0
1,4,41.6935,0
0,3,41.8243,0
2,3,41.9437,0
0,2,42.0687,0
1,4,42.1938,0
1,2,42.3187,0
1,3,42.4436,0
0,3,42.5688,0
1,3,42.6937,0
1,4,42.8188,0
1,2,42.9438,0
1,4,43.0689,0
0,2,43.1936,0
1,3,43.3188,0
0,3,43.4439,0
1,3,43.5686,0
0,4,43.6937,0
1,2,43.8193,0
1,4,43.9442,0
0,2,44.0688,0
1,4,44.1939,0
0,3,44.3188,0
1,3,44.4437,0
0,2,44.573,0
1,3,44.6936,0
1,4,44.8187,0
0,3,44.9437,0
0,3,45.0686,0
1,2,45.1936,0
0,4,45.3187,0
0,3,45.4437,0
1,4,45.5687,0
0,2,45.6937,0
0,3,45.8186,0
1,3,45.9437,0
0,3,46.0686,0
1,3,46.1938,0
0,3,46.3187,0
0,3,46.4436,0
1,4,46.5688,0
0,2,46.6937,0
0,4,46.8188,0
0,2,46.9437,0
1,4,47.0688,0
0,2,47.194,0
0,4,47.3188,0
0,2,47.4445,0
0,4,47.5691,0
0,3,47.6936,0
0,3,47.8187,0
0,3,47.9438,0
0,3,48.0689,0
0,3,48.1939,0
1,3,48.3186,0
0,3,48.4437,0
0,4,48.5686,0
0,2,48.6936,0
0,4,48.8186,0
0,3,48.9437,0
0,3,49.0686,0
0,2,49.1943,0
0,4,49.3192,0
0,4,49.4439,0
0,3,49.5687,0
0,3,49.6938,0
0,4,49.8186,0
0,2,49.9436,0
0,4,50.0686,0
-1,2,50.1942,0
0,4,50.3187,0
0,2,50.4444,0
0,4,50.5692,0
-1,2,50.6938,0
0,4,50.8186,0
0,3,50.9436,0
0,3,51.0687,0
0,3,51.1938,0
-1,3,51.3187,0
0,3,51.4446,0
-1,3,51.5687,0
0,3,51.6937,0
-1,4,51.8187,0
0,2,51.9446,0
0,4,52.0693,0
0,3,52.1937,0
-1,3,52.3185,0
-1,4,52.4436,0
0,3,52.5687,0
-1,3,52.6937,0
0,3,52.8187,0
-1,4,52.9437,0
0,2,53.0687,0
-1,4,53.1937,0
0,2,53.3193,0
-1,4,53.4453,0
-1,3,53.5688,0
-1,3,53.6936,0
0,3,53.8187,0
-1,4,53.9438,0
0,3,54.0687,0
-1,3,54.1936,0
-1,2,54.3189,0
-1,4,54.4437,0
0,2,54.5687,0
-1,4,54.6938,0
-1,3,54.8186,0
-1,3,54.9438,0
-1,3,55.0875,0
-1,4,55.1987,0
0,2,55.3197,0
-1,4,55.4485,0
-1,3,55.5695,0
-1,3,55.6937,0
-1,3,55.819,0
-1,3,55.9438,0
-1,4,56.0685,0
-1,3,56.1936,0
-1,3,56.3187,0
-1,3,56.4436,0
-1,3,56.5687,0
-1,3,56.6935,0
