WLMouse Beast X Mini Omron Optical (unit 2) - SapphireOS 25H2 - 8Khz High Speed Turbo Mode - Mouse 1 Held
3200
xCount,yCount,Time (ms),buttonflags
0,-2,0,0
-2,-4,0.0059,0
-2,-2,0.0205,0
-1,-4,0.0363,0
-2,-2,0.0442,0
-1,-4,0.048,0
-2,-2,0.0559,0
-1,-4,0.0811,0
-1,-2,0.38,0
-2,-4,0.3853,0
-2,-4,0.5,0
-1,-2,0.9615,0
-1,-3,0.9668,0
-1,-3,0.9704,0
-2,-4,0.9739,0
-1,-2,1.0565,0
-2,-3,1.1803,0
0,-3,1.3051,0
-2,-3,1.4302,0
-1,-3,1.5561,0
-1,-3,1.6893,0
-1,-3,1.8057,0
-2,-3,1.9352,0
0,-3,2.0557,0
-2,-3,2.18,0
0,-2,2.3053,0
-2,-4,2.4301,0
-1,-3,2.555,0
-1,-3,2.68,0
-1,-4,2.8049,0
-1,-2,2.93,0
-1,-4,3.055,0
-1,-2,3.1817,0
0,-2,3.3053,0
-2,-4,3.43,0
-1,-3,3.5553,0
-1,-3,3.68,0
0,-2,3.8051,0
-1,-4,3.9302,0
-1,-2,4.0552,0
-1,-4,4.18,0
0,-2,4.305,0
-1,-4,4.43,0
-1,-2,4.5549,0
-1,-3,4.68,0
-1,-3,4.8051,0
0,-3,4.9303,0
-1,-3,5.0551,0
-1,-3,5.1801,0
0,-3,5.3055,0
-1,-3,5.43,0
-1,-2,5.56,0
0,-4,5.6805,0
-1,-2,5.805,0
0,-4,5.9299,0
0,-3,6.0549,0
-1,-2,6.1803,0
-1,-4,6.3051,0
0,-2,6.4301,0
0,-3,6.555,0
-1,-3,6.6799,0
-1,-3,6.8079,0
0,-3,6.93,0
0,-3,7.0549,0
0,-3,7.1801,0
-1,-3,7.3051,0
0,-2,7.4318,0
0,-4,7.5553,0
0,-2,7.68,0
-1,-3,7.8053,0
0,-3,7.9301,0
0,-3,8.055,0
0,-3,8.18,0
0,-3,8.3049,0
-1,-3,8.43,0
0,-2,8.5549,0
0,-3,8.6803,0
0,-2,8.8052,0
0,-3,8.93,0
0,-3,9.055,0
0,-4,9.18,0
0,-1,9.3058,0
0,-4,9.4302,0
-1,-2,9.5564,0
0,-3,9.6801,0
0,-4,9.805,0
0,-2,9.93,0
0,-3,10.0553,0
0,-2,10.1802,0
0,-4,10.3053,0
0,-2,10.43,0
0,-3,10.555,0
0,-3,10.68,0
0,-3,10.805,0
0,-3,10.93,0
1,-2,11.0551,0
0,-3,11.1799,0
0,-3,11.3049,0
0,-3,11.4302,0
1,-3,11.555,0
0,-2,11.681,0
0,-3,11.8053,0
0,-2,11.9307,0
1,-3,12.0552,0
0,-3,12.1799,0
1,-3,12.305,0
0,-3,12.43,0
0,-2,12.555,0
1,-3,12.6801,0
0,-3,12.805,0
1,-2,12.9299,0
0,-3,13.055,0
1,-3,13.18,0
0,-2,13.305,0
1,-3,13.4299,0
1,-3,13.555,0
0,-2,13.6799,0
1,-4,13.805,0
0,-2,13.93,0
1,-3,14.0551,0
1,-2,14.1802,0
0,-3,14.3051,0
1,-3,14.43,0
1,-2,14.5549,0
1,-4,14.6799,0
0,-1,14.805,0
1,-4,14.9299,0
1,-2,15.0549,0
1,-3,15.18,0
0,-3,15.3053,0
1,-2,15.4299,0
1,-3,15.555,0
1,-2,15.6801,0
1,-3,15.8049,0
0,-2,15.93,0
2,-3,16.055,0
0,-2,16.1807,0
1,-3,16.3053,0
2,-3,16.4299,0
0,-2,16.5559,0
1,-3,16.6802,0
1,-2,16.8049,0
2,-3,16.93,0
0,-2,17.055,0
1,-3,17.18,0
2,-3,17.3049,0
1,-2,17.43,0
1,-3,17.567,0
1,-2,17.69,0
1,-3,17.8085,0
1,-2,17.9302,0
2,-3,18.0553,0
1,-3,18.1801,0
1,-2,18.305,0
1,-3,18.4301,0
2,-2,18.555,0
1,-3,18.6799,0
1,-2,18.805,0
2,-3,18.9299,0
1,-2,19.0548,0
2,-2,19.1799,0
1,-3,19.3049,0
2,-2,19.4299,0
1,-3,19.5551,0
1,-2,19.68,0
2,-3,19.806,0
1,-2,19.93,0
2,-2,20.0549,0
1,-3,20.1799,0
1,-2,20.305,0
3,-3,20.4302,0
1,-2,20.555,0
2,-2,20.68,0
1,-3,20.8049,0
2,-2,20.9299,0
2,-3,21.0549,0
1,-2,21.18,0
2,-3,21.3049,0
1,-1,21.4299,0
2,-3,21.5549,0
2,-2,21.6813,0
1,-2,21.8102,0
2,-3,21.9304,0
2,-2,22.0551,0
2,-3,22.18,0
1,-2,22.3051,0
2,-2,22.43,0
2,-2,22.5548,0
2,-2,22.6799,0
2,-3,22.805,0
2,-2,22.9299,0
2,-3,23.055,0
2,-1,23.1816,0
2,-3,23.3053,0
1,-2,23.4302,0
3,-3,23.555,0
1,-1,23.6799,0
3,-3,23.8049,0
2,-2,23.9299,0
2,-2,24.055,0
2,-2,24.18,0
2,-2,24.3051,0
2,-3,24.43,0
3,-2,24.555,0
1,-2,24.6799,0
3,-3,24.8048,0
2,-1,24.9308,0
2,-3,25.0552,0
2,-2,25.1799,0
2,-2,25.3057,0
3,-2,25.43,0
2,-2,25.5552,0
2,-3,25.6802,0
2,-2,25.8049,0
3,-2,25.9301,0
2,-2,26.055,0
2,-2,26.1799,0
2,-2,26.305,0
3,-2,26.43,0
2,-2,26.5601,0
3,-2,26.6805,0
3,-2,26.805,0
2,-3,26.9301,0
3,-1,27.055,0
1,-2,27.18,0
4,-3,27.3051,0
1,-1,27.43,0
3,-2,27.5549,0
3,-3,27.6799,0
3,-1,27.8051,0
3,-3,27.9299,0
2,-1,28.0552,0
3,-2,28.1802,0
2,-2,28.3049,0
3,-2,28.4299,0
3,-2,28.5549,0
2,-2,28.6799,0
3,-2,28.805,0
2,-2,28.9299,0
4,-2,29.0549,0
2,-1,29.18,0
3,-3,29.3048,0
2,-1,29.4302,0
4,-3,29.5551,0
3,-1,29.6802,0
2,-2,29.805,0
3,-2,29.9299,0
3,-2,30.0549,0
4,-2,30.18,0
1,-1,30.3066,0
4,-2,30.4302,0
3,-3,30.555,0
3,-1,30.6799,0
3,-3,30.8048,0
3,-1,30.9299,0
3,-2,31.0549,0
3,-2,31.1801,0
3,-2,31.305,0
3,-2,31.4299,0
3,-1,31.5549,0
4,-2,31.6799,0
2,-2,31.805,0
3,-2,31.9299,0
3,-1,32.055,0
4,-2,32.18,0
2,-2,32.3049,0
4,-1,32.4299,0
4,-3,32.5548,0
2,-1,32.6808,0
4,-2,32.8051,0
2,-1,32.93,0
4,-2,33.055,0
3,-2,33.1799,0
4,-2,33.3049,0
3,-1,33.4301,0
3,-2,33.555,0
4,-2,33.6801,0
3,-1,33.8049,0
4,-2,33.9299,0
2,-1,34.0549,0
4,-2,34.1801,0
4,-2,34.3049,0
3,-1,34.43,0
4,-2,34.5549,0
3,-1,34.6799,0
4,-2,34.8049,0
3,-1,34.9302,0
4,-2,35.0551,0
3,-1,35.1799,0
4,-2,35.3054,0
4,-2,35.4298,0
2,-1,35.5549,0
5,-2,35.6799,0
2,-1,35.8049,0
5,-2,35.9301,0
2,-1,36.0551,0
5,-2,36.1799,0
4,-1,36.3048,0
3,-1,36.4299,0
4,-2,36.5549,0
3,-1,36.68,0
